what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381280491215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381280496845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1381280631091
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1381280633947
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1381280634354
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1381280635417
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1381280636380
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1381280636888
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280652397
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381280652400
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280652544
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280664125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381280664128
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280664260
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1381280667363
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1381280670076
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280672228
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381280672233
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280672367
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1381280676048
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280679754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381280679758
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280679889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381280688871
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381280696153
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280702779
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381280702783
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280702916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381280704531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381280707892
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280873365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381280873368
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280873489
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280908853
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381280908857
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280909021
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1381280914256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1381280917766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1381280919844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1381280920603
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1381280921864
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280924349
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381280924352
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381280924470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281045203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281405400
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1381281407604
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281414222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381281414227
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281414343
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281425864
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381281425868
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281425988
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1381281463028
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1381281472252
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1381281473207
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281475283
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381281475287
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281475409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1381281478222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1381281478864
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281488041
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381281488044
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281488158
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281500940
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381281500943
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281501061
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281503720
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281507350
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281512106
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381281512110
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281512281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281514148
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281522247
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281524365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381281524371
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281524492
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281525757
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281527673
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1381281532684
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281533256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381281533261
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281533380
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281535897
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281555146
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281559619
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381281559622
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281559745
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281568642
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281572030
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281587003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381281587007
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281587174
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281588971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281589716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281590185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281593752
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281594567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281594894
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281595254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281595926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281596688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281597062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281597660
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281598118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281598698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281599065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281599600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281600021
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281600510
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381281601016
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1381281626221
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281631923
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381281631926
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281632046
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1381281635152
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381281636716
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381281636718
